-24,-38,-3,-75,-33,-70,18,38,70,14,-37,33,-51,41,43,55,-7,-48,36,3,-11,-19,-4,-72,-22,-41
-19,19,-40,59,-29,-1,-12,41,-50,-31,-69,-91,-66,52,11,58,-78,-27,-9,-66,-41,28,9,73,-78,46
-22,-62,64,-99,-7,44,29,-49,-25,-20,23,-82,15,17,80,-77,-52,38,-38,-58,-60,-10,7,-33,32,-15
-21,14,18,-5,61,-7,-59,15,34,-106,49,11,-27,-82,31,-16,-21,-52,6,-8,55,42,-84,-2,-65,-46
-19,-65,65,62,5,-69,-12,57,-50,-8,7,22,34,-11,-53,-4,-21,36,42,102,-69,-83,-103,-60,-27,80
-28,13,-29,5,-11,19,12,-84,73,-66,-59,33,24,68,-36,-16,31,-47,-74,9,-12,-70,9,-37,-52,-26
-16,38,-48,-65,-48,-77,-76,-44,-28,-20,48,-50,18,-24,30,67,17,14,-40,-1,47,-36,-23,1,53,53
-23,-23,-100,11,6,-23,52,-73,-59,31,-50,43,69,-63,-64,-12,-74,-93,31,-86,-40,59,-38,-12,22,-67
-21,17,41,-33,-128,18,-85,25,-34,79,11,21,-29,-26,-64,-94,20,-35,23,18,-63,20,57,-7,-44,-68
-14,-46,-38,22,14,-11,19,-21,-22,2,-39,-55,-87,-70,-54,-29,28,37,-59,12,55,-43,27,-7,40,-42
